Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Sundance,"New Sub-Area 1 > Friction Slab > Entrance Corridor > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/106009156/sundance,2.2,-1,Sport,5.7,1,70,38.0258,-109.54
Teabag,"King's Hand > Wall Street North > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/108422224/teabag,2.0,-1,"Trad, Sport","5.8 PG13",1,45,38.5751,-109.5858
"Tastes Like Chicken","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/110129738/tastes-like-chicken,1.9,-1,"Sport, TR",5.7,1,80,38.54668,-109.59959
"Hidden Message","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/110130797/hidden-message,1.6,-1,"Sport, TR","5.7 PG13",1,60,38.54668,-109.59959
Neopolitan,"Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/110130825/neopolitan,2.4,-1,"Sport, TR",5.7,1,90,38.54668,-109.59959
Yogini,"Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/110130847/yogini,1.8,-1,"Sport, TR",5.7,1,80,38.54668,-109.59959
"Slab Route","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106294412/slab-route,1.8,-1,Sport,5.7,1,90,38.54668,-109.59959
"The Right Way","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/117566441/the-right-way,1.0,-1,"Sport, TR",5.8,1,60,38.54668,-109.59959
"Snakes Slab","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/105939440/snakes-slab,2.0,-1,Sport,5.8+,1,60,38.54668,-109.59959
"Root Canal","River Road Dihedrals > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106777929/root-canal,2.9,-1,Sport,5.8,1,70,38.60702,-109.54061
"The Notovitch Codex","Utopia > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/108019708/the-notovitch-codex,1.3,-1,"Trad, Sport","5.7 PG13",1,50,38.65092,-109.49562
Qebehsenuef,"Utopia > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/107993538/qebehsenuef,1.0,-1,"Trad, Sport","5.8+ PG13",1,40,38.65092,-109.49562
Minions,"The Cinema > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/116630583/minions,2.4,-1,Sport,5.6,1,80,38.66006,-109.49974
"One Eyed Willy","The Cinema > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/112542433/one-eyed-willy,2.3,-1,Sport,5.7,1,45,38.66006,-109.49974
"Adventures in Babysitting","The Cinema > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/112542521/adventures-in-babysitting,2.7,-1,Sport,5.7,1,90,38.66006,-109.49974
"Opening Act","The Stage > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/120042588/opening-act,1.1,-1,Sport,5.6,1,60,38.6618,-109.49886
Soliloquy,"The Stage > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/120002850/soliloquy,2.0,-1,Sport,5.7,1,70,38.6618,-109.49886
"Acting Out","The Stage > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/120002891/acting-out,1.9,-1,Sport,5.7,1,70,38.6618,-109.49886
"Break A Leg","The Stage > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/120042606/break-a-leg,1.4,-1,Sport,5.7,1,60,38.6618,-109.49886
"Rising Action","The Stage > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/120042644/rising-action,1.0,-1,Sport,5.7,1,70,38.6618,-109.49886
"Left Slab","Ice Cream Parlor > Kane Springs Canyon > Southeast Utah > Utah",https://www.mountainproject.com/route/105949876/left-slab,2.1,-1,Sport,5.7,1,50,38.5092,-109.5995
"Black Slab","Ice Cream Parlor > Kane Springs Canyon > Southeast Utah > Utah",https://www.mountainproject.com/route/106618148/black-slab,2.1,-1,Sport,5.7,1,50,38.5092,-109.5995
"Slab Route","Ice Cream Parlor > Kane Springs Canyon > Southeast Utah > Utah",https://www.mountainproject.com/route/105954561/slab-route,2.0,-1,Sport,5.7+,1,70,38.5092,-109.5995
"Unknown Needle","Gatherer Canyon > Kane Springs Canyon > Southeast Utah > Utah",https://www.mountainproject.com/route/108009343/unknown-needle,2.7,-1,"Trad, Sport, Aid","5.8 A0+ PG13",1,70,38.5172,-109.5951
"Learning Curve","Sunshine Wall Routes > Sunshine Wall > Southeast Utah > Utah",https://www.mountainproject.com/route/105718009/learning-curve,2.1,-1,"Trad, Sport",5.7,1,120,38.8607,-109.7425
"Melanoma Shuffle","Sunshine Wall Routes > Sunshine Wall > Southeast Utah > Utah",https://www.mountainproject.com/route/105718276/melanoma-shuffle,2.4,-1,Sport,5.8,1,140,38.8607,-109.7425
"Mosquito Coast","Sunshine Wall Routes > Sunshine Wall > Southeast Utah > Utah",https://www.mountainproject.com/route/106417544/mosquito-coast,1.9,-1,"Trad, Sport","5.8 PG13",1,120,38.8607,-109.7425
"Moab? Moab!","Family Friendly > Sunshine Wall > Southeast Utah > Utah",https://www.mountainproject.com/route/116717566/moab-moab,1.0,-1,"Sport, TR",5.7,1,30,38.8614,-109.74396
"Reach Around","Family Friendly > Sunshine Wall > Southeast Utah > Utah",https://www.mountainproject.com/route/116717678/reach-around,0.6,-1,"Sport, TR",5.7,1,30,38.8614,-109.74396
