Route,URL,Avg Stars,Rating,Pitches,Length,Area Latitude,Area Longitude,PG13,R,State,Region,Location,Crag,Wall,Trad,Alpine,TR,Aid,Boulder,Mixed,numVotes,numViews,Year
Tiki Man,https://www.mountainproject.com/route/105718555/tiki-man,4.0,5.13c,1,60.0,38.49691,-109.31021,False,False,Utah,Southeast Utah,La Sal Mountains,Mill Creek,The Wicked Crag,False,False,False,False,False,False,"Avg: 4 from 11
    votes","Page Views: 9,559 total · 42/month","Shared By: Anonymous Coward on Dec 31, 2004"
The Bleeding,https://www.mountainproject.com/route/108138178/the-bleeding,4.0,5.14b,1,60.0,38.49691,-109.31021,False,False,Utah,Southeast Utah,La Sal Mountains,Mill Creek,The Wicked Crag,False,False,False,False,False,False,"Avg: 4 from 2
    votes","Page Views: 6,238 total · 49/month","Shared By: Orphaned on May 12, 2013"
Doubloon,https://www.mountainproject.com/route/119530243/doubloon,3.0,5.14b,1,90.0,38.49691,-109.31021,False,False,Utah,Southeast Utah,La Sal Mountains,Mill Creek,The Wicked Crag,False,False,False,False,False,False,"Avg: 3 from 1
    vote",Page Views: 953 total · 25/month,"Shared By: Ben Crawford on Sep 9, 2020"
Prosthetics,https://www.mountainproject.com/route/112880123/prosthetics,4.0,5.13d,1,90.0,38.49649,-109.31053,False,False,Utah,Southeast Utah,La Sal Mountains,Mill Creek,The Sunny Side,False,False,False,False,False,False,"Avg: 4 from 4
    votes","Page Views: 2,868 total · 36/month","Shared By: ben jammin on May 7, 2017"
Donut Project,https://www.mountainproject.com/route/116076135/donut-project,3.0,5.14+,1,30.0,38.49649,-109.31053,False,False,Utah,Southeast Utah,La Sal Mountains,Mill Creek,The Sunny Side,False,False,False,False,False,False,"Avg: 3 from 1
    vote","Page Views: 1,560 total · 26/month","Shared By: j wharton on Nov 8, 2018 · Updates"
Voodoo,https://www.mountainproject.com/route/119160871/voodoo,2.0,5.13c,1,,40.44472,-111.69582,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Black Magic,False,False,False,False,False,False,"Avg: 2 from 1
    vote",Page Views: 453 total · 11/month,"Shared By: Jonathan Vickers on Jul 5, 2020"
Perfect Drug,https://www.mountainproject.com/route/107640857/perfect-drug,3.9,5.13c,1,50.0,40.44647,-111.68747,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Cannabis Wall,False,False,False,False,False,False,"Avg: 3.9 from 8
    votes","Page Views: 3,966 total · 29/month","Shared By: slcpunk on Jun 4, 2012"
Bingo Baby,https://www.mountainproject.com/route/106517480/bingo-baby,2.3,5.13c/d,1,40.0,40.4461,-111.6859,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,Bingo Baby,False,False,False,False,False,False,"Avg: 2.3 from 3
    votes","Page Views: 2,366 total · 14/month","Shared By: J Farley on Aug 14, 2009"
The Shining,https://www.mountainproject.com/route/108164919/the-shining,3.5,5.13c,1,50.0,40.45152,-111.67645,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,The Billboard Trail,False,False,False,False,False,False,"Avg: 3.5 from 6
    votes","Page Views: 2,277 total · 18/month","Shared By: Brendan N on May 28, 2013"
The Blue Mask,https://www.mountainproject.com/route/108165237/the-blue-mask,3.8,5.13c/d,1,60.0,40.45152,-111.67645,False,False,Utah,Wasatch Range,Southern Wasatch,American Fork Canyon,The Billboard Trail,False,False,False,False,False,False,"Avg: 3.8 from 6
    votes","Page Views: 3,002 total · 24/month","Shared By: Brendan N on May 28, 2013"
