Area Latitude,Area Longitude,OBJECTID,STATION_NA,STN_ID_,SECONDARY_,STN_AUTHOR,NETWORK_,LOCATION_O,TYPE_OF_OB,ACTIVE_INA,PERIOD_OF_,LATITUDE,LONGITUDE,COUNTY,CLIMATE_DI,WATER_BASI,HUC,TEMP_,PRECIPITAT,SNOW_FALL,SNW_GND_DP,DEW_POINT,REL_HUM,WIND_SPEED,WIND_GUST,SOLAR_RAD,SOIL_MOIST,SOIL_TEMP,FUEL_TEMP,FUEL_MOIST,PRESSURE,SL_PRESSUR,ALTIMETER,WEATHER_CO,VISIBILITY,UVB,ELEVATION
-12579189.6356,4439105.2966,1,CANNAN,42115T04, ,NWS,COOP,http://climate.usu.edu,ONCE DAILY,INACTIVE,1912-1917,37,-113,WASHINGTON,4, , , ,P,SNOW FALL,SNW GND DPTH, , , , , , , , , , , , , , , ,5000.000000
-12610415.8246,4439189.01,2,FORT PEARCE /ST GEORGE,FPWU1,DD09129A,NOAA/NWS,HADS,http://amazon.nws.noaa.gov/hads/charts/UT.html,HOURLY,ACTIVE, ,37.0006,-113.2805,WASHINGTON,2,LOWER COLORADO, , ,P, , , , , , , , , , , , , , , , , , 
-12624241.9426,4439830.0296,3,VIRGIN RIVER/ST GEORGE 10SW,VRSU1, ,1668A424,HADS,http://amazon.nws.noaa.gov/hads/charts/UT.html,HOURLY,ACTIVE, ,37.0052,-113.4047,WASHINGTON,2,LOWER COLORADO, , ,P, , , , , , , , , , , , , , , , , , 
-12526867.922,4440499.5741,4,KANAB MUNICIPAL AIRPORT,KKNB,99999,National Weather Service,NWS/FAA,http://www.faa.gov/asos/,HOURLY,ACTIVE,2003-PRESENT,37.01,-112.53,KANE,4,LOWER COLORADO, ,T, , , ,DP,RH,WS, , , , , , ,PR,SLP,A,WC,VIS, ,4863.912000
-12575348.9759,4441154.492,5,CW2921 Hildale,C2921,9999999,APRSWXNET/Citizen Weather Observer Program,APRSWXNET/CWOP,http://www.wxqa.com/states/UT.html,HOURLY,ACTIVE,2004-PRESENT,37.0147,-112.9655,WASHINGTON,2,LOWER COLORADO, ,T, , , ,DP,RH,WS, , , , , , ,PR,SLP,A, , , ,5155.832000
-12334277.9391,4441430.5451,6,NAVAJO MOUNTAIN,42607607, ,NWS,COOP,http://climate.usu.edu,ONCE DAILY,INACTIVE,1956-19755,37.016667,-110.8,SAN JUAN,7, , ,T,P,SNOW FALL,SNW GND DPTH, , , , , , , , , , , , , , , ,6020.000000
-12269340.7612,4441431.146,7,MONUMENT VLY MISSION,42581207, ,NWS,COOP,http://climate.usu.edu,ONCE DAILY,INACTIVE,1961-1989,37.016667,-110.216667,SAN JUAN,7, , ,T,P,SNOW FALL,SNW GND DPTH, , , , , , , , , , , , , , , ,5300.000000
-12267485.3736,4441431.1159,8,MONUMENT VALLEY GOULDIN,42581007, ,NWS,COOP,http://climate.usu.edu,ONCE DAILY,INACTIVE,1956-1960,37.016667,-110.2,SAN JUAN,7, , ,T,P,SNOW FALL,SNW GND DPTH, , , , , , , , , , , , , , , ,5240.000000
-12680404.4359,4442628.6669,9,BEAVER DAM SLOPE,42BEAV00, ,BLM1,BLM, ,HOURLY,INACTIVE,1995-1997,37.02528,-113.9092,WASHINGTON,2,LOWER COLORADO, ,T,P, , , ,RH,WS, , , , , , , , , , , , , 
-12636706.3933,4443752.2127,10,ST GEORGE FD,42751602, ,NWS,COOP,http://climate.usu.edu,ONCE DAILY,ACTIVE,1862-PRESENT,37.033333,-113.516667,WASHINGTON,2, , ,T,P,SNOW FALL,SNW GND DPTH, , , , , , , , , , , , , , , ,2900.000000
-12526835.7964,4444086.9665,11,KANAB,GSE18, ,Grand Staircase-Escalante National Monument,GSE,http://www.blm.gov,HOURLY,ACTIVE,2004-PRESENT,37.03573,-112.52971,KANE,4,LOWER COLORADO, ,T,P, , ,DP,RH,WS,WG, , , , , ,PR,SLP,A, , , ,4898.680000
-12516103.0403,4444794.1002,12,CW1130 Kanab,C1130,9999999,APRSWXNET/Citizen Weather Observer Program,APRSWXNET/CWOP,http://www.wxqa.com/states/UT.html,HOURLY,ACTIVE,2003-PRESENT,37.0408,-112.4333,KANE,4,LOWER COLORADO, ,T,P, , ,DP,RH,WS,WG, , , , , , , , , , , ,6005.352000
-12617651.8088,4444877.43,13,VIRGIN RIVER/BLOOMINGTON,VRBU1, ,16E9F11A,HADS,http://amazon.nws.noaa.gov/hads/charts/UT.html,HOURLY,ACTIVE, ,37.0414,-113.3455,WASHINGTON,2,LOWER COLORADO, , ,P, , , , , , , , , , , , , , , , , , 
-12618508.9296,4445114.5654,14,SANTA CLARA/ST GEORGE,SRSU1, ,17325012,HADS,http://amazon.nws.noaa.gov/hads/charts/UT.html,HOURLY,ACTIVE, ,37.0431,-113.3532,WASHINGTON,2,LOWER COLORADO, , ,P, , , , , , , , , , , , , , , , , , 
-12527239.1087,4446077.1707,15,KANAB,42450804, ,NWS,COOP,http://climate.usu.edu,ONCE DAILY,ACTIVE,1899-PRESENT,37.05,-112.533333,KANE,4, , ,T,P,SNOW FALL,SNW GND DPTH, , , , , , , , , , , , , , , ,4950.000000
-12408864.5041,4447472.344,16,ST GEORGE,427516, ,NOAA/NWS,15 MINUTE PRECIP,http://hurricane.ncdc.noaa.gov/pls/plclimprod/cdomain.abbrev2id?datasetabbv=TD3260&countryabbv=&GeoRegionabbv=&Force,QUARTER HOUR,ACTIVE,1971-PRESENT,37.06,-111.47,WASHINGTON,2,LOWER COLORADO, , ,P, , , , , , , , , , , , , , , , , ,7468.232000
-12504046.6898,4447499.8637,17,KANAB CREEK,KCKU1,1717F6C4,NOAA/NWS,HADS,http://amazon.nws.noaa.gov/hads/charts/UT.html,HOURLY,ACTIVE, ,37.0602,-112.325,KANE,4,LOWER COLORADO, , ,P, , , , , , , , , , , , , , , , , , 
-12416857.5964,4447848.9361,18,PARIA RIVER/KANAB 35E,PAKU1, ,DD58E4A6,HADS,http://amazon.nws.noaa.gov/hads/charts/UT.html,HOURLY,ACTIVE, ,37.0627,-111.5418,KANE,4,COLORADO WEST, , ,P, , , , , , , , , , , , , , , , , , 
-12590321.967,4448866.8863,19,BIG PLAINS,42068F02, ,NWS,COOP,http://climate.usu.edu,ONCE DAILY,INACTIVE,1915-1918,37.07,-113.1,WASHINGTON,2, , , ,P, , , , , , , , , , , , , , , , , ,5000.000000
-12636910.4981,4449518.237,20,ST GEORGE 4ESE,42STGE00, ,UCC1,UCC1,Utah Climate Center,HOURLY,INACTIVE,1986-1997,37.07467,-113.5185,WASHINGTON,2,LOWER COLORADO, ,T,P, , , ,RH,WS, , , , , , , , , , , , ,2610.000000
