,Location,Latitude,Longitude
0,Alpine city,40.46,-111.77
1,Alta town,40.58,-111.62
2,Altamont town,40.36,-110.29
3,Alton town,37.43,-112.51
4,Amalga town,41.86,-111.9
5,American Fork city,40.38,-111.79
6,Aneth,37.21,-109.16
7,Annabella town,38.71,-112.06
8,Antimony town,38.1,-111.98
9,Apple Valley town,37.08,-113.11
10,Aurora city,38.92,-111.93
11,Avon,41.54,-111.81
12,Ballard town,40.3,-109.95
13,Bear River City city,41.61,-112.12
14,Beaver city,38.27,-112.64
15,Benjamin,40.09,-111.74
16,Benson,41.75,-111.92
17,Beryl Junction,37.7,-113.65
18,Bicknell town,38.34,-111.54
19,Big Water town,37.07,-111.66
20,Blanding city,37.62,-109.51
21,Bluebell,40.36,-110.22
22,Bluff,37.29,-109.57
23,Bluffdale city,40.48,-111.94
24,Bonanza,40.03,-109.19
25,Boulder town,37.92,-111.43
26,Bountiful city,40.87,-111.86
27,Brian Head town,37.7,-112.84
28,Brigham City city,41.5,-112.04
29,Bryce Canyon City town,37.68,-112.16
30,Cache,41.83,-112.01
31,Cannonville town,37.58,-112.06
32,Carbonville,39.63,-110.83
33,Castle Dale city,39.22,-111.02
34,Castle Valley town,38.63,-109.4
35,Cedar City city,37.68,-113.09
36,Cedar Fort town,40.34,-112.11
37,Cedar Hills city,40.41,-111.75
38,Centerfield town,39.13,-111.82
39,Centerville city,40.93,-111.88
40,Central,37.41,-113.63
41,Central Valley town,38.7,-112.1
42,Charleston town,40.47,-111.46
43,Circleville town,38.17,-112.27
44,Clarkston town,41.92,-112.05
45,Clawson town,39.14,-111.1
46,Clear Creek,39.64,-111.15
47,Clearfield city,41.1,-112.02
48,Cleveland town,39.35,-110.86
49,Clinton city,41.14,-112.07
50,Coalville city,40.92,-111.39
51,Copperton,40.56,-112.09
52,Corinne city,41.55,-112.12
53,Cornish town,41.97,-111.95
54,Cottonwood Heights city,40.62,-111.82
55,Cove,41.97,-111.78
56,Dammeron Valley,37.3,-113.67
57,Daniel town,40.47,-111.41
58,Delta city,39.35,-112.57
59,Deseret,39.29,-112.65
60,Deweyville town,41.69,-112.09
61,Draper city,40.5,-111.86
62,Duchesne city,40.17,-110.39
63,Dugway,40.23,-112.75
64,Dutch John,40.93,-109.39
65,Eagle Mountain city,40.31,-112.0
66,East Carbon city,39.53,-110.44
67,Echo,40.98,-111.44
68,Eden,41.3,-111.81
69,Elberta,39.97,-111.96
70,Elk Ridge city,40.01,-111.68
71,Elmo town,39.39,-110.82
72,Elsinore town,38.68,-112.15
