Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Mentor,"Fringe Walls > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/121534628/mentor,3.0,-1,Sport,5.12a,1,70,38.06227,-109.54956
"Chalk is Cheap","Deadman's Buttress > Long Canyon > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106606836/chalk-is-cheap,3.0,-1,"Trad, Sport",5.12-,2,200,38.54832,-109.66055
Warsteiner,"Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106264563/warsteiner,2.9,-1,Sport,5.11c,1,60,38.54668,-109.59959
"Man After Midnight","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106353365/man-after-midnight,3.1,-1,Sport,5.11c,1,65,38.54668,-109.59959
"Bolts to Bumpy Land","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/111851144/bolts-to-bumpy-land,3.4,-1,Sport,5.11c,1,120,38.54668,-109.59959
"High Over Datura","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/112487526/high-over-datura,3.3,-1,Sport,"5.11+ PG13",1,45,38.54668,-109.59959
"Knapping With The Alien","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/105828966/knapping-with-the-alien,3.4,-1,Sport,5.12a,1,60,38.54668,-109.59959
"Mississippi High Step","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106412192/mississippi-high-step,3.1,-1,Sport,5.12a,1,50,38.54668,-109.59959
"Dark Horse","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/105718330/dark-horse,3.1,-1,Sport,5.12-,1,70,38.54668,-109.59959
Uncertain,"Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/112857173/uncertain,2.4,-1,Sport,5.12-,1,50,38.54668,-109.59959
Pockmarks,"The Scar > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106427963/pockmarks,1.5,-1,Sport,5.11d,1,45,38.57016,-109.58106
Sub-Lux,"The Scar > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106427968/sub-lux,2.6,-1,Sport,5.11d,1,45,38.57016,-109.58106
Sunkist,"The Scar > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106427971/sunkist,1.9,-1,Sport,5.11d,1,80,38.57016,-109.58106
Eviscerate,"The Scar > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106427956/eviscerate,2.6,-1,Sport,5.12a,1,35,38.57016,-109.58106
"Free Beer","Mars > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106466043/free-beer,2.9,-1,Sport,5.11c,1,50,38.5714,-109.5815
Hubble,"Mars > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106466053/hubble,3.2,-1,Sport,5.11+,1,95,38.5714,-109.5815
"Alien Abduction","Mars > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106466049/alien-abduction,2.6,-1,Sport,5.12a,1,70,38.5714,-109.5815
"Big Horny Sheep","Mars > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106474764/big-horny-sheep,2.0,-1,Sport,5.12a,1,85,38.5714,-109.5815
Propulsion,"Mars > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/111800709/propulsion,3.5,-1,Sport,5.12a/b,1,65,38.5714,-109.5815
"Holier Than Thou","The Nuns > Castle Valley > Southeast Utah > Utah",https://www.mountainproject.com/route/105718021/holier-than-thou,3.8,-1,"Trad, Sport",5.11c,2,350,38.6836,-109.4227
"The Unforgiven","The Nuns > Castle Valley > Southeast Utah > Utah",https://www.mountainproject.com/route/105718351/the-unforgiven,3.6,-1,"Trad, Sport",5.11+,1,100,38.6836,-109.4227
"Protest Too Much","The Theater > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/114227445/protest-too-much,3.1,-1,Sport,5.11c,1,,38.66113,-109.4994
"Boldness Be My Friend","The Theater > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/118042716/boldness-be-my-friend,2.8,-1,Sport,5.12a,1,90,38.66113,-109.4994
"With Bated Breath","The Theater > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/119548868/with-bated-breath,2.6,-1,Sport,5.12a,1,80,38.66113,-109.4994
"All the World's a Stage","The Theater > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/113069228/all-the-worlds-a-stage,3.6,-1,Sport,5.12a,1,90,38.66113,-109.4994
"La Faberge","The Cove > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/120399843/la-faberge,1.0,-1,Sport,5.11+,1,60,38.65574,-109.5029
Possessed,"Ice Cream Parlor > Kane Springs Canyon > Southeast Utah > Utah",https://www.mountainproject.com/route/105934675/possessed,2.7,-1,Sport,"5.12a PG13",1,90,38.5092,-109.5995
T-Rex,"Ice Cream Parlor > Kane Springs Canyon > Southeast Utah > Utah",https://www.mountainproject.com/route/106596078/t-rex,3.4,-1,"Trad, Sport","5.12- PG13",4,350,38.5092,-109.5995
Brainiac,"Sunshine Wall Routes > Sunshine Wall > Southeast Utah > Utah",https://www.mountainproject.com/route/109586773/brainiac,2.5,-1,Sport,5.12a,1,80,38.8607,-109.7425
"Outside Traverse","Crackhouse > Southeast Utah > Utah",https://www.mountainproject.com/route/112498027/outside-traverse,3.6,-1,"Sport, Boulder","5.12- V4",1,45,38.58924,-109.69932
"Small One aka Friction","Small Adventures Wall / 313 Slabs > State Highway 313 > Southeast Utah > Utah",https://www.mountainproject.com/route/112836705/small-one-aka-friction,2.5,-1,Sport,5.11c,1,100,38.65324,-109.7204
"Ferns Have Feelings Too","The Wicked Crag > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/107276707/ferns-have-feelings-too,3.0,-1,Sport,5.11c,1,65,38.49691,-109.31021
Inferno,"The Wicked Crag > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/111002436/inferno,2.9,-1,Sport,5.12-,1,70,38.49691,-109.31021
"Mickey Mantle","Horse Creek > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/112001349/mickey-mantle,3.8,-1,Sport,5.12a/b,1,60,38.47684,-109.38133
