Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Tiki Man,The Wicked Crag > Mill Creek > La Sal Mountains > Southeast Utah > Utah,https://www.mountainproject.com/route/105718555/tiki-man,4.0,-1,Sport,5.13c,1,60.0,38.49691,-109.31021
The Bleeding,The Wicked Crag > Mill Creek > La Sal Mountains > Southeast Utah > Utah,https://www.mountainproject.com/route/108138178/the-bleeding,4.0,-1,Sport,5.14b,1,60.0,38.49691,-109.31021
Doubloon,The Wicked Crag > Mill Creek > La Sal Mountains > Southeast Utah > Utah,https://www.mountainproject.com/route/119530243/doubloon,3.0,-1,Sport,5.14b,1,90.0,38.49691,-109.31021
Prosthetics,The Sunny Side > Mill Creek > La Sal Mountains > Southeast Utah > Utah,https://www.mountainproject.com/route/112880123/prosthetics,4.0,-1,Sport,5.13d,1,90.0,38.49649,-109.31053
Donut Project,The Sunny Side > Mill Creek > La Sal Mountains > Southeast Utah > Utah,https://www.mountainproject.com/route/116076135/donut-project,3.0,-1,Sport,5.14+,1,30.0,38.49649,-109.31053
Voodoo,Black Magic > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/119160871/voodoo,2.0,-1,Sport,5.13c,1,,40.44472,-111.69582
Perfect Drug,Cannabis Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/107640857/perfect-drug,3.9,-1,Sport,5.13c,1,50.0,40.44647,-111.68747
Bingo Baby,Bingo Baby > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/106517480/bingo-baby,2.3,-1,Sport,5.13c/d,1,40.0,40.4461,-111.6859
The Shining,Apetizer Wall > The Billboard > The Billboard Trail > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/108164919/the-shining,3.5,-1,Sport,5.13c,1,50.0,40.45152,-111.67645
The Blue Mask,Apetizer Wall > The Billboard > The Billboard Trail > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/108165237/the-blue-mask,3.8,-1,Sport,5.13c/d,1,60.0,40.45152,-111.67645
Hard Blues,Apetizer Wall > The Billboard > The Billboard Trail > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/117931858/hard-blues,3.5,-1,Sport,5.14a,1,70.0,40.45152,-111.67645
Fryeing,Hell Cave > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/106516434/fryeing,3.4,-1,Sport,5.13c,1,75.0,40.4465,-111.69402
Linus,Hell Cave > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/106516973/linus,3.7,-1,Sport,5.13c,1,40.0,40.4465,-111.69402
Demon-Wizard-Bat,Hell Cave > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/118029637/demon-wizard-bat,4.0,-1,Sport,5.13c,1,50.0,40.4465,-111.69402
Vegans from Hell,Hell Cave > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/118843843/vegans-from-hell,3.0,-1,Sport,5.13c,1,40.0,40.4465,-111.69402
Side-Show Bob,Hell Cave > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/109087157/side-show-bob,2.5,-1,Sport,5.13c/d,1,30.0,40.4465,-111.69402
Cannibals,Hell Cave > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/109087134/cannibals,3.6,-1,Sport,5.13d,1,50.0,40.4465,-111.69402
Lying,Hell Cave > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/119847157/lying,4.0,-1,Sport,5.13d,1,,40.4465,-111.69402
Cannibals Direct,Hell Cave > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/109086998/cannibals-direct,3.0,-1,Sport,5.14b,1,50.0,40.4465,-111.69402
I Scream,Hell Cave > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/109087146/i-scream,2.0,-1,Sport,5.14c,1,50.0,40.4465,-111.69402
In Hell I'll Be in Good Company,Hell Cave > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/123944838/in-hell-ill-be-in-good-company,4.0,-1,Sport,5.14d,1,50.0,40.4465,-111.69402
Soul Fission,El Diablo Wall > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/109092617/soul-fission,3.0,-1,Sport,5.13c,1,40.0,40.44645,-111.69372
San Miguel,El Diablo Wall > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/110329209/san-miguel,2.9,-1,Sport,5.13c,1,40.0,40.44645,-111.69372
Ghost White,El Diablo Wall > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/123129966/ghost-white,3.0,-1,Sport,5.13c,1,40.0,40.44645,-111.69372
Satanism and Sports,El Diablo Wall > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/109092586/satanism-and-sports,3.0,-1,Sport,5.13d,1,40.0,40.44645,-111.69372
Power Junkie,El Diablo Wall > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/109092592/power-junkie,3.0,-1,Sport,5.13d,1,40.0,40.44645,-111.69372
Cop Killer,El Diablo Wall > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/109092598/cop-killer,2.5,-1,Sport,5.13d,1,,40.44645,-111.69372
Body Count,El Diablo Wall > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/109092604/body-count,3.8,-1,Sport,5.13d,1,,40.44645,-111.69372
Dead Souls,El Diablo Wall > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/106772078/dead-souls,3.6,-1,Sport,5.14a,1,40.0,40.44645,-111.69372
The Big G,El Diablo Wall > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/109096302/the-big-g,2.5,-1,Sport,5.14a,1,40.0,40.44645,-111.69372
The Optimist,El Diablo Wall > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/122171568/the-optimist,3.0,-1,Sport,5.14a,1,,40.44645,-111.69372
High Water,Hell Wall > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/106518761/high-water,3.4,-1,Sport,5.13c,1,45.0,40.44645,-111.69416
Brimstone,Hell Wall > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/121314148/brimstone,2.0,-1,Sport,5.13d,1,,40.44645,-111.69416
Silver Lining,Hell Wall > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/119862217/silver-lining,4.0,-1,Sport,5.14a,1,,40.44645,-111.69416
Higher Water,Hell Wall > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/121302878/higher-water,3.3,-1,Sport,5.14a/b,1,,40.44645,-111.69416
Villains,Sean’s Cave > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/121644167/villains,2.0,-1,Sport,5.13c,1,45.0,40.4469,-111.68576
Stable Boy,The Jobsite > Rock Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/106670181/stable-boy,2.0,-1,Sport,5.13c,1,50.0,40.2665,-111.624
Prestidigitator,Drone Wall > Hobble Creek Canyon > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/109407694/prestidigitator,2.0,-1,Sport,5.13c/d,1,40.0,40.1716,-111.471
Phobos,West-facing Wall > The Hinterlands > Southern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/114272936/phobos,2.0,-1,Sport,5.13d,1,50.0,40.27487,-111.62792
The Green Corner,Green Adjective Gully > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/118836238/the-green-corner,3.0,-1,Sport,5.13d,1,75.0,40.5741,-111.7543
Iridescence,Dragon Arch > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/118977596/iridescence,4.0,-1,Sport,5.14a,1,50.0,40.57426,-111.76793
The Super Ramp,East Gate Buttress > Gate Buttress > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/118990825/the-super-ramp,2.0,-1,Sport,5.13c,1,90.0,40.57387,-111.75163
Crown Jewel,Static Wall > Storm Mountain Picnic Area > Big Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/118050485/crown-jewel,4.0,-1,Sport,5.13c/d,1,,40.62647,-111.74584
Dog Eat Dog,S-Curve - Lower > S-Curves > Big Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/124618826/dog-eat-dog,4.0,-1,Sport,5.13d,1,,40.63387,-111.72201
Killshot,Hoss Garden > Big Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/117968785/killshot,3.0,-1,Sport,5.13c,1,,40.63458,-111.70453
CEO,Boss Garden > Big Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/119070393/ceo,4.0,-1,Sport,5.13c,1,,40.6353,-111.7039
Interrobang,Question Mark Wall > Lone Peak Cirque > Central Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/117391550/interrobang,4.0,-1,"Sport, Alpine",5.14a,1,110.0,40.52459,-111.75637
Flying High,Mile 385 Area > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/121361776/flying-high,3.0,-1,Sport,5.13d,1,80.0,41.79951,-111.63754
The Rad Race,Rodent Ranch > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/124649842/the-rad-race,3.0,-1,Sport,5.13c,1,90.0,41.80592,-111.63168
The Finish Line,Rodent Ranch > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/124649877/the-finish-line,4.0,-1,Sport,5.14a,1,100.0,41.80592,-111.63168
Supernova,Solar Cave > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/109095490/supernova,-1.0,-1,Sport,5.14-,1,45.0,41.745,-111.757
Golden Tide,Beach Front Wall > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/107819812/golden-tide,3.0,-1,Sport,5.13d,1,40.0,41.7426,-111.7747
Trench Warfare,China Cave Main > China Wall > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/108292695/trench-warfare,3.0,-1,Sport,5.13c,1,60.0,41.78535,-111.64221
Shanghai,China Cave Main > China Wall > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/118642780/shanghai,2.6,-1,Sport,5.13c,1,50.0,41.78535,-111.64221
The Big Brawl,China Cave Main > China Wall > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/118647860/the-big-brawl,4.0,-1,Sport,5.13c,1,60.0,41.78535,-111.64221
Super Finish,China Cave Main > China Wall > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/122872178/super-finish,2.0,-1,Sport,5.13c,1,,41.78535,-111.64221
Chinese Connection,China Cave Main > China Wall > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/113322756/chinese-connection,3.0,-1,Sport,5.13c/d,1,80.0,41.78535,-111.64221
Tweak,China Cave Main > China Wall > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/108222223/tweak,4.0,-1,Sport,5.13d,1,60.0,41.78535,-111.64221
Slugfest,China Cave Main > China Wall > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/109361319/slugfest,4.0,-1,Sport,5.13d,1,60.0,41.78535,-111.64221
Blackout,China Cave Main > China Wall > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/110033753/blackout,4.0,-1,Sport,5.13d,1,80.0,41.78535,-111.64221
lost for words,China Cave Main > China Wall > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/118647832/lost-for-words,3.0,-1,Sport,5.13d,1,60.0,41.78535,-111.64221
Fight Club,China Cave Main > China Wall > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/121396011/fight-club,4.0,-1,Sport,5.13d,1,60.0,41.78535,-111.64221
Still Too Weak,China Cave Main > China Wall > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/120577448/still-too-weak,3.5,-1,Sport,5.14a,1,70.0,41.78535,-111.64221
Super Weak,China Cave Main > China Wall > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/122872147/super-weak,3.0,-1,Sport,5.14a,1,,41.78535,-111.64221
Super Tweak,China Cave Main > China Wall > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/110033749/super-tweak,4.0,-1,Sport,5.14b,1,80.0,41.78535,-111.64221
Revenge of Spackle Monkey,Hardware Wall > Left Hand Fork > Blacksmith Fork Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/107815243/revenge-of-spackle-monkey,3.3,-1,Sport,5.13c,1,,41.66711,-111.62642
Sandwich,Hardware Wall > Left Hand Fork > Blacksmith Fork Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/119408679/sandwich,3.0,-1,Sport,5.13d,1,110.0,41.66711,-111.62642
Green Bawse,Blacksmith Left > Blacksmith Wall > Left Hand Fork > Blacksmith Fork Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah,https://www.mountainproject.com/route/107823258/green-bawse,4.0,-1,Sport,5.13c,1,,41.63133,-111.70745
Random RX,Choss Cave > Mill Canyon > Echo Canyon > Wasatch Back > Wasatch Range > Utah,https://www.mountainproject.com/route/107859221/random-rx,3.0,-1,Sport,5.13c,1,,41.00191,-111.40608
Infinite Choss (Link Up),Choss Cave > Mill Canyon > Echo Canyon > Wasatch Back > Wasatch Range > Utah,https://www.mountainproject.com/route/111885721/infinite-choss-link-up,3.0,-1,Sport,5.13c,1,60.0,41.00191,-111.40608
Safe Sport (link-up),North Narrows > Upper Narrows > Narrows > South Willow Canyon > Stansbury Mountains > West Desert > Utah,https://www.mountainproject.com/route/114939800/safe-sport-link-up,3.0,-1,Sport,5.13c,1,70.0,40.4916,-112.59539
The Big Smile,South Narrows > Upper Narrows > Narrows > South Willow Canyon > Stansbury Mountains > West Desert > Utah,https://www.mountainproject.com/route/105742196/the-big-smile,4.0,-1,Sport,5.14a,1,,40.49128,-112.59538
All Around Routine,Shadow Buttress > Ibex > West Desert > Utah,https://www.mountainproject.com/route/106121105/all-around-routine,3.7,-1,Sport,5.14a,3,300.0,38.9922,-113.3894
Blood Meridian,Snakeskin Buttress > Ibex > West Desert > Utah,https://www.mountainproject.com/route/107532557/blood-meridian,3.8,-1,Sport,5.13c,1,90.0,38.98931,-113.39021
Cobble Killer,Cobble Roof > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah,https://www.mountainproject.com/route/115192317/cobble-killer,3.7,-1,Sport,5.13c,1,,39.55582,-111.67547
Body Dump,Cobble Roof > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah,https://www.mountainproject.com/route/122796349/body-dump,3.0,-1,Sport,5.13c,1,,39.55582,-111.67547
